,summonerId
0,rlesU8V-exQlYK_vWUX1KMYJBlSYRMS2FjmFxcQtsOcTtsBXJ4d9xIRbQA
1,N18WWKMoh2OqecKRydwlCFChsIOiOYUCg8VMdaNqIy1DPXSScBaBB4WPaQ
2,Bjzd8iZc1Y2XFVYKEBIsreeVfcRlKPA_uiXwSG1Kb-LMLoXt
3,7kKrXfBU6qNqc61hfmxm8qKtnHdnE5Ja_9sVTGVQmKdKh8M7TCm3OvX_8A
4,ghql6tGT5mflZdtwcs0M6bX_kA1pqDmNTzgFv47uZBCzLe41DKoVbvdxxQ
5,BILE7gw5Hyl2sXKNYyhBXbJRoqNsbYxJWBJC4Gw0eqcbQJfm1ytc1EcU7w
6,oa_xsvG93rB49vDXQcCyec2TyXNJnPITOM7VpLncbdJJGCo
7,9E7DhuZZ_4HE4ct826sd3XmPdzwVdtJfQijogHvb1h8Skhg
8,tFlviM3yN6mlaf2CGub4haocUcFyHKn9DDGtfn2T57Ux2ITO
9,P5vhTC6jpEVLCYy6BM5lJgMSZ0EPst8i_SCvwRSuGksZjVE
10,VFXNXwAlTqmHMD4qcgtemrbFh5Upg3GS6x6bsjIwZaIlLuE
11,5M_oOnlXJnsKtDG_Fj1g2LX1m52yqdTUHzF72fmAO4Dcz3I
12,441vVtOvm3EvUDAjKfvRcnSo1Tg0rwY-KLD2YPPGsQxN_eM
13,Pfxt0QBXcaNstWADkh8fSpdmATbVE7lqrAwxugu3BMwZTVA
14,2Gsg55A4lllookMJMCKOqcxeuZqym01Hz0Q9v9asiShetopSSMV4zZaHng
15,wcFJSQ8RXycDzk5Byu_4ZyfCTqnJMovRB4CoNX9HZ2KsG1c
16,WzoA0W3ThSj-58JM8axXwNAH2jVrw6b6_wWkFhG5aEzRY-g
17,KEr_7iHJocwhDVDqYHfZ8fK4aUiTMM1pjPITQP0vaLbyCgfM4LH2a2l7qA
18,Z5eddRYSOes494EavEKAKMjgfwL_sLTGs0GFu4ts7Q0WLT8
19,csqiaKy5-uwSJg0ZP4gIP1ZTch1EfmNsf5dv_BVDA87RZwg
20,V6zBCfrC1xCpxLoukmTONs6nXuc8CBaFmtHi8RvpH4IZCqo
21,mxRBVreNrFfu70yr2vH8ZUo6VUufg0PXkZkYoZ_5VASDMg8
22,-W_g_COsC39nc1Ier6zJr9DKH8jtUvrQ9-3NpAnIcmOhVoU
23,foQ9Tkhcqw-kTqWhQRMafRjF7900Z3C2p50W-5k8rskqSDM
24,T65XpXNqhICO4AclijfXYhEZRE496OIvYhnPVvJ0L45hPQs
25,4ep2gaC8Mt0ACNhB66heMeREEL7mJK8YzrlwXYUds4SrKkda
