championId,championName,kills,deaths,assists,games_played,totalDamageDealtToChampions,totalDamageTaken,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,largestCriticalStrike,timeCCingOthers,totalHealsOnTeammates,totalDamageShieldedOnTeammates,damageSelfMitigated,champExperience,champLevel,goldEarned,goldSpent,totalMinionsKilled,neutralMinionsKilled,bountyLevel,consumablesPurchased,itemsPurchased,visionScore,wardsPlaced,wardsKilled,visionWardsBoughtInGame,detectorWardsPlaced,objectives_baron_kills,objectives_champion_kills,objectives_dragon_kills,objectives_inhibitor_kills,objectives_riftHerald_kills,objectives_tower_kills,damageDealtToBuildings,damageDealtToTurrets,damageDealtToObjectives,first_baron_rate,first_dragon_rate,first_inhibitor_rate,first_herald_rate,first_tower_rate,timePlayed,longestTimeSpentLiving,gameEndedInEarlySurrender,gameEndedInSurrender,doubleKills,tripleKills,quadraKills,pentaKills,first_blood_rate,firstBloodAssist,first_tower_kill_rate,firstTowerAssist,turretKills,inhibitorKills,inhibitorTakedowns,inhibitorsLost,individualPosition,lane,kda,cs_per_minute,gold_per_minute,damage_per_minute
1,Annie,5.36,5.61,7.75,163,21780.45,17662.97,19983.87,932.53,863.13,39.96,27.8,13.91,1895.77,10781.16,13471.34,14.47,10312.46,9498.87,158.37,0.87,5.36,3.45,19.18,20.87,9.66,2.41,1.28,1.13,0.35,27.29,1.79,0.74,0.43,5.2,2460.45,2460.45,4938.0,0.27,0.5,0.38,0.43,0.39,1655.2,545.61,0.01,0.29,0.53,0.08,0.01,0.0,0.06,0.1,0.03,0.02,0.9,0.2,0.44,0.89,MIDDLE,MIDDLE,2.34,5.77,373.82,789.53
2,Olaf,6.46,6.07,5.13,125,22270.07,32400.22,69.87,16135.13,6064.42,206.54,14.39,0.0,0.0,35431.06,14722.68,15.01,11782.68,10863.91,146.17,49.95,6.46,1.87,21.3,15.85,6.58,1.95,0.66,0.53,0.37,27.53,1.95,0.81,0.48,5.55,4682.57,4682.57,17243.38,0.29,0.54,0.36,0.48,0.43,1651.77,515.1,0.02,0.28,0.78,0.11,0.01,0.0,0.13,0.1,0.16,0.0,1.58,0.2,0.37,0.85,TOP,TOP,1.91,7.12,428.0,808.95
3,Galio,3.7,4.94,9.69,471,17020.53,25919.01,16164.87,419.89,435.03,3.18,36.81,10.59,1095.55,36251.47,13343.93,14.39,9763.89,9047.03,157.15,0.93,3.7,3.67,20.65,20.0,9.59,2.01,1.4,1.24,0.34,26.69,1.79,0.81,0.43,5.27,1918.83,1918.83,4184.72,0.28,0.47,0.39,0.43,0.48,1632.41,600.25,0.0,0.32,0.22,0.01,0.0,0.0,0.06,0.13,0.04,0.04,0.66,0.12,0.4,0.84,MIDDLE,MIDDLE,2.71,5.81,358.88,625.6
4,TwistedFate,4.15,5.24,8.82,199,17660.36,22019.9,14989.44,2135.12,535.1,126.19,38.01,22.1,14.79,10618.35,14580.99,15.05,11586.15,10893.61,173.09,2.06,4.15,3.68,21.12,22.41,11.04,2.5,1.36,1.15,0.33,26.81,1.83,0.84,0.43,5.67,4562.8,4562.8,7711.08,0.29,0.48,0.42,0.43,0.48,1670.9,611.37,0.01,0.3,0.27,0.02,0.01,0.0,0.07,0.09,0.09,0.04,1.4,0.23,0.46,0.8,MIDDLE,MIDDLE,2.48,6.29,416.04,634.16
5,XinZhao,6.26,6.03,8.19,327,19782.02,41785.0,1315.82,17380.69,1084.54,259.23,24.15,0.0,0.0,31380.78,13530.98,14.48,11207.56,10335.22,35.9,131.49,6.26,2.91,21.05,22.72,5.32,3.54,2.05,1.86,0.33,28.22,1.83,0.85,0.46,5.63,2306.66,2306.66,28068.98,0.27,0.51,0.41,0.46,0.5,1663.74,531.19,0.01,0.29,0.56,0.06,0.0,0.0,0.12,0.08,0.04,0.05,0.85,0.18,0.44,0.87,JUNGLE,JUNGLE,2.4,6.04,404.18,713.41
6,Urgot,6.42,5.14,4.82,320,21158.55,27426.88,137.42,19171.62,1848.78,1.41,26.91,20.44,0.0,32938.17,15264.3,15.36,12081.13,11116.32,190.3,6.68,6.42,2.03,19.82,19.98,8.63,3.11,0.69,0.63,0.38,28.39,1.92,0.95,0.45,5.89,5503.83,5503.83,11965.8,0.3,0.46,0.45,0.45,0.47,1686.06,578.5,0.01,0.25,0.6,0.09,0.01,0.0,0.11,0.06,0.13,0.02,1.83,0.23,0.57,0.85,TOP,TOP,2.19,7.01,429.92,752.95
7,Leblanc,6.62,5.05,7.59,190,21653.94,20949.48,18389.74,1376.68,1886.48,0.0,17.26,1.03,0.0,9842.11,13318.07,14.33,10680.43,9914.18,141.56,1.08,6.62,4.26,20.94,31.53,13.26,3.81,1.71,1.5,0.32,30.05,2.01,0.93,0.46,5.71,2307.38,2307.38,4003.07,0.23,0.55,0.39,0.46,0.57,1673.16,612.98,0.01,0.33,0.38,0.03,0.0,0.0,0.17,0.12,0.02,0.03,0.64,0.14,0.43,0.81,MIDDLE,MIDDLE,2.81,5.12,383.0,776.52
8,Vladimir,6.14,4.56,4.86,360,24558.48,31907.52,22805.91,1186.78,564.98,0.0,4.47,0.0,0.0,16534.87,15131.81,15.37,11421.27,10431.35,198.52,3.73,6.14,2.39,18.09,13.8,7.94,1.08,0.37,0.31,0.34,27.74,1.86,0.9,0.48,5.8,3885.59,3885.59,7910.98,0.29,0.44,0.42,0.48,0.51,1653.34,615.09,0.01,0.3,0.65,0.12,0.01,0.01,0.08,0.05,0.06,0.02,1.38,0.18,0.44,0.77,MIDDLE,MIDDLE,2.41,7.34,414.48,891.23
9,FiddleSticks,4.84,5.57,8.82,234,18776.78,32722.05,17655.15,293.86,826.88,0.0,51.07,15.33,0.0,18750.03,13099.22,14.21,10340.61,9417.35,45.39,104.82,4.84,3.67,16.95,54.16,6.15,4.24,2.72,2.44,0.4,27.88,1.85,0.92,0.37,5.62,955.27,955.27,21217.8,0.31,0.49,0.38,0.37,0.44,1690.73,580.07,0.02,0.26,0.35,0.03,0.0,0.0,0.08,0.1,0.01,0.03,0.4,0.08,0.3,0.89,JUNGLE,JUNGLE,2.45,5.33,366.96,666.34
10,Kayle,4.99,5.74,4.99,342,20142.94,22728.69,14596.45,5133.63,412.04,3.52,8.28,1293.31,2.24,10228.96,15606.06,15.54,11964.67,10991.4,207.63,11.86,4.99,2.09,18.63,15.93,8.59,1.76,0.51,0.46,0.32,26.24,1.88,0.81,0.36,5.54,5971.12,5971.12,11722.0,0.26,0.53,0.38,0.36,0.39,1677.51,583.22,0.01,0.26,0.49,0.08,0.01,0.0,0.08,0.07,0.06,0.01,1.85,0.28,0.5,1.01,TOP,TOP,1.74,7.85,427.94,720.46
