championId,championName,teamPosition,total_games_played_in_role,avg_kills,avg_deaths,avg_deaths_by_enemy_champs,avg_assists,avg_kill_participation,avg_takedowns,total_wins,avg_pct_damage_in_team,avg_dmg_per_minute,avg_dmg_dealt_to_champions,avg_dmg_dealt,avg_magic_dmg_to_champs,avg_magic_dmg,avg_physical_dmg_to_champs,avg_physical_dmg,avg_true_dmg_to_champs,avg_true_dmg,avg_largest_crit,avg_time_ccing_champs,avg_total_time_cc_dealt,avg_champ_immobilizations,avg_dmg_taken_team_pct,avg_dmg_taken,avg_magic_dmg_taken,avg_physical_dmg_taken,avg_tru_dmg_taken,avg_dmg_self_mitigated,avg_times_killed_champ_took_full_team_dmg_and_survived,avg_times_survived_single_digit_hp,avg_times_survived_3_immobilizes_in_fight,avg_times_took_large_dmg_survived,avg_total_healing,avg_heals_on_teammate,avg_total_units_healed,avg_dmg_shielded_on_team,avg_effective_heal_and_shield,avg_supp_quest_completion_time,avg_longest_time_alive,avg_time_spent_dead,avg_spell1_casts,avg_spell2_casts,avg_spell3_casts,avg_spell4_casts,avg_ability_uses,avg_times_dodged_skill_small_window,avg_skillshots_dodged,avg_skillshots_landed_early_game,avg_skillshots_hit,avg_times_immobilize_and_kill_with_ally,avg_times_got_kill_after_hidden_with_ally,avg_times_pick_kill_with_ally,avg_times_knock_enemy_into_team_and_kill,avg_kills_near_enemy_turret,avg_kills_under_own_turret,avg_multikills_after_aggressive_flash,avg_outnumbered_kills,avg_outnumbered_nexus_kill,avg_quick_cleanse,avg_quick_solo_kills,avg_solo_kills,avg_takedowns_after_gaining_lvl_adv,avg_kills_on_other_lanes_early_as_jgler,avg_times_save_ally_from_death,avg_takedowns_in_alcove,total_games_first_blood_kill,total_games_first_blood_assist,avg_takedowns_before_jg_camps_spawn,avg_first_takedown_time,avg_champ_exp_at_game_end,avg_champ_lvl_at_game_end,avg_gold_earned_per_game,avg_gold_per_minute,avg_gold_spent,avg_bounty_lvl,avg_bounty_gold,avg_max_lvl_lead_lane_opp,avg_cs,avg_cs_10_mins,avg_max_cs_over_lane_opp,avg_consumables_purchased,avg_number_of_items_purchased,total_games_fastest_item_completion,avg_neutral_monsters_cs,avg_buffs_stolen,avg_initial_buff_count,avg_epic_monster_kills_within_30s_of_spawn,avg_initial_crab_count,avg_crabs_per_game,avg_jg_cs_before_10m,avg_jgler_kills_early_jungle,avg_jgler_early_kills_on_laners,avg_jgler_tkdowns_near_damaged_epic_monsters,avg_kills_with_help_from_epic_monster,avg_vision_score,avg_vision_score_per_min,avg_vision_score_adv_over_lane_opp,avg_stealth_wards_placed,avg_wards_placed,avg_wards_guarded,avg_ctrol_wards_placed,avg_ctrl_ward_time_coverage_in_river_or_enemy_half,avg_unseen_recalls,avg_wards_killed,avg_ward_tkdowns,avg_ward_tkdowns_beforem_20m,avg_2_wards_killed_w_1_sweeper,avg_ctrl_wards_bought,avg_earliest_baron_by_team_time,avg_baron_kills_by_team,avg_herald_kills_by_team,avg_dragon_kills_by_team,avg_elder_dragon_kills_by_team,avg_elder_dragon_kills_w_opposing_soul,avg_inhib_kills_by_team,avg_tower_kills_by_team,avg_inhibs_lost_by_team,avg_nexus_lost_by_team,avg_turrets_lost_by_team,avg_first_turret_kill_time_by_team,avg_total_team_champ_kills,avg_team_aces_before_15_by_team,avg_flawless_aces_by_team,avg_shortes_time_to_ace_from_1st_tkdown,avg_max_kill_deficit,avg_indiv_dmg_dealt_to_buildings,avg_indiv_dmg_dealth_to_turrets,avg_indiv_turret_plates_taken,avg_turrets_killed_before_plates_fell,avg_indiv_tower_kills,avg_indiv_tower_tkdowns,avg_indiv_tower_tkdowns2,avg_indiv_solo_towers_kills_late_game,avg_indiv_towers_taken_w_rift_herald,avg_indiv_multi_towers_taken_w_rift_herald,avg_indiv_inhib_kills,avg_indiv_inhib_tkdowns,avg_indiv_nexus_kills,avg_indiv_nexus_tkdowns,avg_indiv_dmg_dealt_to_objs,avg_indiv_baron_kills,avg_indiv_solo_baron_kills,avg_indiv_baron_tkdowns,avg_indiv_dragon_kills,avg_indiv_dragon_tkdowns,avg_indiv_rift_herald_tkdowns,avg_indiv_void_monster_kills,avg_objs_stolen,avg_objs_stolen_assists,avg_epic_monster_steals,avg_epic_monster_steals_without_smite,avg_epic_monsters_killed_near_enemy_jgler,avg_earliest_drag_tkd,number_of_games_had_drag_tkd,avg_time_played_per_game,avg_game_length,avg_doublekills,avg_triplekills,avg_quadrakills,avg_pentakills,avg_largest_multikill,avg_number_of_multikills,avg_multikills_with_one_spell,avg_killing_sprees,avg_killing_sprees2,avg_legendary_count,avg_largest_killing_spee,avg_unreal_kills,avg_12_assist_streaks,avg_elder_drag_multikills,avg_full_team_tkds,avg_times_blast_cone_enemy,avg_double_aces,avg_fist_bump_participations,avg_mejai_full_stack_time,avg_outer_turret_executes_before_10m,avg_tkds_in_enemy_fountain,mode_individual_position,mode_lane,mode_role,mode_team_position,champ_role,kda,winrate,cs_per_minute,gold_per_minute,damage_per_minute,pct_first_drag_tkd_min_5to7,pct_first_drag_tkd_min_7to11,pct_first_drag_tkd_min_11to15,pct_first_drag_tkd_min_15+,pct_highest_dmg_in_match,pct_highest_cc_in_match,pct_highest_ward_kills_in_match,pct_fastest_supp_quest_in_match,pct_first_to_buy_item_in_match,pct_games_first_blood_kill,pct_games_first_blood_assist,pct_of_games_with_early_lanephase_gold_exp_adv,pct_of_games_with_lanephase_gold_exp_adv,pct_games_jgler_had_early_tkdowns_in_all_lanes,pct_of_games_team_took_first_baron,pct_of_games_team_took_first_drag,pct_of_games_team_took_first_inhib,pct_games_team_took_first_herald,pct_of_games_team_took_first_turret,pct_of_games_with_perfect_drag_soul_taken,pct_of_games_first_turret_taken_by_team,pct_of_games_that_are_perfect_games,pct_of_games_indiv_killed_1st_tower,pct_of_games_indiv_tkdown_1st_tower,pct_of_games_indiv_had_1st_turret_assist,pct_of_games_indiv_took_1st_tower_quick,pct_of_games_with_open_nexus,pct_of_games_ended_in_early_ff,pct_of_games_ended_in_ff,pct_of_games_team_ffd,pct_of_games_danced_with_rift_herald,pct_of_games_played_champ_select_position
1,Annie,MIDDLE,141,5.65,5.66,5.66,7.6,0.47,13.25,64,0.24,778.95,22646.64,106679.96,20829.91,93483.4,917.44,10262.28,898.36,2933.31,42.87,27.78,257.08,36.53,0.15,17825.53,8464.55,8405.74,954.29,10984.83,0.0,0.04,1.94,0.0,1475.68,0.0,0.98,1797.23,1797.75,0.0,553.37,174.85,133.71,55.95,64.82,108.21,362.69,1.41,23.02,0.02,0.21,6.13,1.36,9.37,0.0,1.18,0.71,0.13,0.88,0.0,0.0,0.22,1.6,0.04,0.23,0.06,0.07,6,0.11,0.11,4.33,13808.76,14.68,10542.27,378.55,9721.45,5.65,205.99,1.35,168.75,67.74,14.82,3.35,19.19,16981.88,0.99,0.03,0.0,0.0,0.0,0.03,0.1,,,0.15,0.28,17.99,0.65,0.1,6.63,8.33,0.27,1.04,0.53,0.01,2.22,2.28,0.88,0.02,1.19,1684.03,0.36,0.41,1.82,0.01,0.0,0.74,5.15,0.91,0.55,5.85,817.51,27.41,0.01,0.16,27.09,1.3,2446.19,2446.19,0.91,0.02,0.89,1.81,1.81,1.36,1.17,0.01,0.2,0.43,0.11,0.29,5072.36,0.0,0.0,0.23,0.0,0.5,0.14,0.7,0.0,0.0,0.0,0.0,0.04,1119.36,48,1662.33,1662.97,0.6,0.09,0.01,0.0,1.42,0.7,0.02,1.3,0.59,0.08,2.77,0.0,0.01,0.01,0.99,0.0,0.0,0.14,0.0,0.0,0.01,MIDDLE,MIDDLE,SOLO,MIDDLE,Annie MIDDLE,2.34,0.45,6.13,380.51,817.41,0.0,10.42,22.92,66.67,12.77,7.8,4.26,0.0,12043.89,4.26,0.08,0.01,0.03,0.0,0.19,0.35,0.26,0.29,0.28,0.06,38.3,0.0,2.84,5.67,1.42,0.0,0.01,0.01,0.2,0.01,0.0,0.71
1,Annie,UTILITY,12,2.08,5.83,5.83,9.83,0.52,11.92,3,0.14,458.64,12379.08,27434.0,10905.92,21066.17,838.33,3611.75,634.0,2755.25,11.08,26.58,119.58,33.0,0.13,15619.83,7359.08,7559.08,700.75,7606.42,0.0,0.0,0.33,0.0,1451.25,189.0,1.33,3089.83,3279.4,0.33,500.58,131.92,39.17,25.0,77.5,68.42,210.08,3.58,32.08,0.0,0.0,4.33,1.08,9.67,0.0,0.33,0.33,0.0,0.25,0.0,0.0,0.0,0.33,0.0,0.17,0.58,0.17,2,0.08,0.17,5.08,9447.83,11.92,7547.5,276.27,6897.92,2.08,88.19,1.33,32.33,14.92,7.58,4.42,20.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,59.67,2.16,0.02,24.58,26.75,0.5,2.17,0.32,0.0,6.08,6.33,3.92,0.08,2.33,1636.66,0.25,0.5,1.5,0.0,0.0,0.5,4.33,1.08,0.75,6.75,804.85,23.0,0.0,0.17,41.49,0.33,919.75,919.75,0.5,0.0,0.42,1.42,1.42,,0.83,0.0,0.17,0.25,0.0,0.17,1945.5,0.0,0.0,0.17,0.0,0.58,0.33,0.58,0.0,0.0,0.0,0.0,0.08,939.14,6,1645.58,1646.34,0.0,0.0,0.0,0.0,1.0,0.0,0.08,0.33,0.0,0.0,0.67,0.0,0.17,0.0,0.92,0.0,0.0,0.25,0.0,0.0,0.0,UTILITY,BOTTOM,SUPPORT,UTILITY,Annie UTILITY,2.04,0.25,1.18,275.19,451.36,16.67,0.0,33.33,50.0,0.0,16.67,50.0,0.0,0.0,16.67,0.67,0.67,0.0,0.0,2.08,2.75,1.42,4.17,2.08,0.0,25.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,3.5,0.0,0.0,8.33
2,Olaf,JUNGLE,38,6.45,5.37,5.37,6.08,0.54,12.53,18,0.2,658.0,18254.39,226090.5,106.39,284.45,13080.13,146745.05,5067.21,79060.29,275.08,13.45,519.21,0.05,0.31,33200.16,10947.45,20273.5,1978.29,36294.89,0.05,0.0,1.55,0.13,21187.95,0.0,1.0,0.0,0.0,0.0,513.55,156.92,155.53,44.03,115.42,7.13,322.11,2.29,24.66,5.68,28.58,0.0,1.47,9.42,0.0,1.42,0.39,0.13,1.71,0.0,0.0,0.0,1.21,0.0,,0.0,0.21,2,0.18,0.16,5.84,12880.29,13.82,10773.47,417.66,9902.71,6.45,195.08,1.67,26.53,2.63,29.49,1.55,18.89,3461.96,146.53,7.68,1.87,0.5,0.97,2.79,62.94,0.14,1.23,0.24,0.47,17.03,0.64,-0.02,3.03,3.79,0.39,0.76,0.5,0.0,2.95,3.21,1.84,0.08,1.0,1657.46,0.29,0.42,1.82,0.03,0.0,0.74,4.61,0.66,0.53,4.95,834.43,24.37,0.0,0.05,30.77,1.11,1535.0,1535.0,0.24,0.03,0.5,1.21,1.21,,0.79,0.03,0.16,0.37,0.05,0.18,30359.66,0.24,0.0,0.29,1.53,1.68,0.37,3.53,0.08,0.03,0.08,0.05,0.68,591.54,29,1526.34,1526.92,0.87,0.08,0.0,0.0,1.53,0.95,0.0,1.47,0.66,0.08,3.21,0.0,0.03,0.0,0.5,0.0,0.0,0.26,0.0,0.0,0.0,JUNGLE,JUNGLE,NONE,JUNGLE,Olaf JUNGLE,2.33,0.47,6.8,423.5,717.57,20.69,51.72,20.69,6.9,10.53,0.0,15.79,0.0,9110.42,5.26,0.47,0.29,0.29,,0.68,1.45,0.89,1.11,1.03,0.21,39.47,2.63,5.26,7.89,0.0,0.0,0.0,0.13,0.97,0.08,0.0,2.63
2,Olaf,TOP,77,6.47,6.3,6.3,4.53,0.38,11.0,41,0.25,832.16,24204.95,161712.16,57.05,249.79,17544.99,141518.88,6602.27,19942.77,195.19,14.79,332.01,0.16,0.25,32100.38,10145.65,19197.61,2756.04,34386.31,0.05,0.13,2.73,0.12,13482.18,0.0,1.0,0.0,0.0,0.0,510.34,193.79,87.56,24.31,60.08,8.91,180.86,0.99,17.34,11.34,39.94,0.0,0.73,6.47,0.0,1.78,0.35,0.16,1.83,0.0,0.0,0.03,2.92,0.08,0.08,0.0,0.05,12,0.06,0.22,3.57,15566.9,15.51,12165.44,431.71,11243.66,6.47,153.5,1.76,198.1,67.36,32.07,2.08,22.09,5293.39,7.73,0.3,0.0,0.03,0.0,0.17,0.47,,,0.18,0.34,14.83,0.52,0.07,6.92,7.86,0.45,0.45,0.44,0.03,1.26,1.69,0.97,0.0,0.55,1685.21,0.39,0.48,1.92,0.03,0.0,0.87,6.01,0.86,0.47,5.57,822.79,28.75,0.0,0.14,26.5,1.66,6226.38,6226.38,2.01,0.17,2.1,2.75,2.75,1.5,1.36,0.03,0.22,0.36,0.22,0.34,11392.86,0.0,0.0,0.26,0.1,0.39,0.1,1.06,0.03,0.0,0.03,0.0,0.1,1416.45,25,1689.27,1689.86,0.75,0.14,0.01,0.0,1.55,0.91,0.0,1.47,0.74,0.05,3.12,0.0,0.0,0.01,0.77,0.01,0.0,0.19,0.0,0.0,0.01,TOP,TOP,SOLO,TOP,Olaf TOP,1.75,0.53,7.31,432.1,859.72,0.0,0.0,4.0,96.0,22.08,0.0,0.0,0.0,6874.53,15.58,0.08,0.1,0.23,0.0,0.39,0.64,0.49,0.62,0.61,0.06,46.75,1.3,19.48,23.38,0.0,0.0,0.0,0.01,0.3,0.0,0.0,1.3
3,Galio,MIDDLE,401,3.87,4.92,4.91,9.44,0.49,13.31,197,0.19,631.57,17776.73,116468.54,16944.29,107446.13,411.69,5381.37,420.0,3640.16,3.19,36.39,124.91,37.75,0.2,26300.75,6640.71,17788.83,1870.2,36258.71,0.0,0.07,3.72,0.11,2412.48,2.0,1.02,1047.39,1049.86,0.0,608.82,147.44,77.01,22.93,48.83,4.91,153.68,3.3,38.9,7.68,36.45,8.44,1.09,10.52,0.01,0.76,0.37,0.03,0.66,0.0,0.0,0.0,0.64,0.02,0.31,0.13,0.05,26,0.12,0.08,4.87,13664.12,14.61,9985.19,365.07,9272.54,3.87,137.27,1.35,170.07,66.59,13.53,3.49,20.6,11153.05,0.95,0.02,0.0,0.0,0.0,0.02,0.15,,,0.12,0.22,16.02,0.6,0.13,6.12,7.81,0.46,1.09,0.55,0.01,1.62,1.7,0.9,0.04,1.2,1651.7,0.34,0.42,1.78,0.02,0.01,0.78,5.22,0.87,0.51,5.58,828.09,26.76,0.0,0.18,27.13,1.28,2011.95,2011.95,0.89,0.04,0.69,1.62,1.62,1.11,0.91,0.01,0.12,0.39,0.05,0.26,4273.96,0.0,0.0,0.21,0.03,0.57,0.1,0.87,0.01,0.02,0.01,0.0,0.02,1074.02,162,1635.99,1636.58,0.24,0.01,0.0,0.0,1.14,0.25,0.02,0.86,0.4,0.02,2.06,0.0,0.07,0.0,1.05,0.02,0.0,0.07,0.01,0.0,0.01,MIDDLE,MIDDLE,SOLO,MIDDLE,Galio MIDDLE,2.71,0.49,6.27,366.21,651.96,3.7,15.43,20.37,60.49,2.49,15.21,1.25,0.0,2781.31,6.48,0.03,0.01,0.01,0.0,0.07,0.12,0.1,0.1,0.12,0.01,48.38,0.5,3.24,6.48,3.49,0.0,0.0,0.0,0.08,0.0,0.0,0.25
3,Galio,TOP,27,2.44,4.19,4.15,6.48,0.39,8.93,11,0.21,516.7,13873.19,100606.59,13357.89,93245.7,341.33,5305.93,173.33,2054.41,2.89,30.07,104.7,32.0,0.21,23478.04,6528.96,15451.11,1497.3,33262.0,0.0,0.07,2.26,0.04,2209.59,2.0,1.0,1080.15,1082.57,0.0,529.41,124.11,70.07,19.37,41.44,4.0,134.89,2.63,31.04,7.04,32.96,5.33,0.67,6.89,0.0,0.22,0.19,0.04,0.44,0.0,0.0,0.0,0.37,0.0,0.04,0.07,0.04,0,0.07,0.0,2.44,12197.15,13.26,8472.48,336.05,7848.52,2.44,101.16,1.28,155.7,62.81,12.08,2.7,18.22,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.15,,,0.07,0.07,14.33,0.56,0.17,6.81,7.44,0.3,0.48,0.42,0.0,1.07,1.07,0.63,0.0,0.59,1723.38,0.22,0.41,1.59,0.0,0.0,0.44,3.74,0.78,0.59,4.85,891.78,21.85,0.04,0.19,26.71,0.89,1742.07,1742.07,0.85,0.04,0.59,1.22,1.22,1.0,1.3,0.0,0.04,0.19,0.0,0.15,4095.59,0.0,0.0,0.22,0.0,0.52,0.19,1.15,0.0,0.04,0.0,0.0,0.07,1343.69,11,1469.81,1470.45,0.11,0.0,0.0,0.0,0.85,0.11,0.0,0.44,0.3,0.0,1.41,0.0,0.0,0.0,1.22,0.0,0.0,0.04,0.0,0.04,0.0,TOP,TOP,SOLO,TOP,Galio TOP,2.13,0.41,6.38,345.86,566.33,0.0,0.0,9.09,90.91,0.0,22.22,0.0,0.0,0.0,0.0,0.26,0.0,0.3,0.0,0.81,1.37,0.7,1.52,1.22,0.26,33.33,0.0,11.11,11.11,0.0,0.0,0.15,0.15,1.52,0.15,0.0,3.7
3,Galio,UTILITY,42,2.81,5.45,5.45,13.83,0.56,16.64,27,0.11,403.51,11694.24,38045.12,10428.74,32108.12,543.67,2468.33,721.07,3467.5,3.43,45.1,123.38,43.74,0.18,23613.86,6058.52,15834.74,1719.6,38117.71,0.0,0.02,3.0,0.14,2447.1,98.33,2.02,1575.29,1674.28,0.81,569.64,132.62,46.26,27.33,47.76,4.93,126.29,2.36,36.67,5.64,31.0,10.88,1.74,13.93,0.02,0.48,0.36,0.02,0.29,0.0,0.0,0.0,0.17,0.0,0.14,0.29,0.05,1,0.24,0.07,6.12,11010.43,13.02,8453.9,300.86,7623.81,2.81,85.13,1.67,35.26,14.24,11.94,6.1,22.62,0.0,0.93,0.02,0.0,0.0,0.0,0.0,0.1,,,0.07,0.1,61.88,2.15,-0.02,24.33,28.14,0.69,3.14,0.53,0.02,6.33,6.52,4.33,0.4,3.81,1611.4,0.38,0.55,2.07,0.02,0.0,1.33,6.86,0.57,0.38,5.17,825.51,28.93,0.0,0.21,26.6,2.43,1189.12,1189.12,1.17,0.1,0.48,2.14,2.14,,1.55,0.0,0.19,0.69,0.0,0.5,3414.86,0.0,0.0,0.31,0.07,1.19,0.29,1.45,0.02,0.05,0.02,0.0,0.02,757.34,27,1697.33,1697.9,0.07,0.0,0.0,0.0,0.88,0.07,0.0,0.69,0.24,0.0,1.52,0.0,0.24,0.0,1.12,0.02,0.0,0.31,0.0,0.0,0.0,UTILITY,BOTTOM,SUPPORT,UTILITY,Galio UTILITY,3.05,0.64,1.28,298.84,413.39,25.93,22.22,25.93,25.93,0.0,30.95,42.86,35.71,0.0,2.38,0.57,0.29,0.29,0.0,0.74,1.31,1.31,1.31,1.24,0.33,52.38,0.0,7.14,19.05,9.52,0.0,0.0,0.0,0.57,0.0,0.0,2.38
4,TwistedFate,MIDDLE,166,4.52,4.96,4.94,8.25,0.47,12.77,80,0.2,641.14,18791.27,144329.58,16255.36,125526.48,1987.75,15453.98,547.46,3348.24,103.57,34.91,170.55,22.85,0.17,22140.05,9979.66,10981.66,1177.78,10863.92,0.0,0.03,1.98,0.0,3323.16,11.81,1.03,0.0,11.81,0.0,633.13,157.19,92.9,183.82,1.4,12.22,290.34,1.53,25.21,5.61,43.57,7.92,1.05,10.15,0.0,0.87,0.58,0.02,0.6,0.0,0.0,0.0,0.63,0.02,0.38,0.01,0.1,13,0.07,0.08,4.91,15156.96,15.36,12011.43,429.36,11307.07,4.52,183.1,1.68,190.77,70.84,21.13,3.4,20.92,2885.08,1.63,0.01,0.0,0.01,0.0,0.11,0.13,,,0.15,0.22,17.13,0.61,0.05,5.61,8.89,0.26,0.93,0.61,0.01,1.88,2.0,0.98,0.02,1.05,1680.26,0.32,0.45,1.83,0.01,0.0,0.86,5.73,0.78,0.52,5.57,839.13,26.53,0.0,0.16,32.04,1.42,5000.34,5000.34,1.51,0.06,1.51,2.39,2.39,1.24,1.2,0.01,0.25,0.48,0.11,0.25,8204.96,0.01,0.0,0.17,0.05,0.66,0.14,0.77,0.01,0.01,0.01,0.01,0.04,1094.53,76,1665.71,1666.31,0.3,0.02,0.01,0.0,1.23,0.32,0.02,1.13,0.46,0.01,2.31,0.0,0.01,0.0,0.81,0.02,0.0,0.12,0.0,0.01,0.01,MIDDLE,MIDDLE,SOLO,MIDDLE,TwistedFate MIDDLE,2.57,0.48,6.93,432.66,676.87,2.63,11.84,22.37,63.16,1.81,16.27,1.2,0.0,1738.0,7.83,0.04,0.02,0.04,0.01,0.17,0.28,0.26,0.27,0.3,0.01,49.4,0.6,8.43,13.25,3.61,0.0,0.01,0.01,0.19,0.01,0.0,0.6
4,TwistedFate,UTILITY,22,1.95,6.36,6.36,14.36,0.56,16.32,10,0.11,385.7,11398.59,43008.82,8498.0,30514.91,2319.45,8935.14,580.41,3557.77,234.95,63.91,179.18,38.32,0.16,21818.23,9192.59,11547.73,1077.09,9705.64,0.0,0.05,1.64,0.0,2409.82,110.77,1.5,133.77,244.67,0.86,514.27,155.86,59.18,167.77,7.32,10.55,244.82,0.95,18.55,6.95,40.45,11.41,2.0,13.64,0.14,0.36,0.14,0.0,0.09,0.0,0.0,0.0,0.14,0.0,0.09,0.0,0.14,0,0.14,0.09,5.73,11198.77,13.18,9012.82,304.73,8237.5,1.95,16.29,1.64,48.36,19.82,21.75,6.45,22.68,0.0,0.91,0.05,0.0,0.0,0.0,0.05,0.0,,,0.05,0.18,67.95,2.29,0.06,25.82,29.59,0.55,3.23,0.61,0.0,7.77,7.82,4.82,0.32,4.09,1605.23,0.45,0.36,1.95,0.0,0.0,0.95,6.05,0.86,0.55,5.77,830.26,29.27,0.0,0.05,32.6,1.18,1826.27,1826.27,1.45,0.14,0.73,2.14,2.14,,0.91,0.0,0.09,0.45,0.05,0.18,4656.32,0.0,0.0,0.23,0.05,1.09,0.14,1.09,0.0,0.0,0.0,0.0,0.0,941.69,14,1770.91,1771.58,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.36,0.14,0.0,0.68,0.0,0.36,0.0,0.5,0.05,0.0,0.41,0.0,0.0,0.0,UTILITY,BOTTOM,SUPPORT,UTILITY,TwistedFate UTILITY,2.56,0.45,1.67,305.36,386.19,21.43,0.0,42.86,35.71,0.0,72.73,63.64,31.82,0.0,0.0,0.64,0.23,0.41,0.0,1.86,2.27,1.86,1.64,2.5,0.23,54.55,0.0,13.64,31.82,9.09,0.0,0.0,0.0,1.05,0.0,0.0,4.55
5,XinZhao,JUNGLE,295,6.26,5.81,5.8,8.36,0.53,14.63,144,0.2,672.93,19447.25,223107.72,1270.72,10903.21,17123.51,146028.85,1052.05,66174.46,272.69,24.02,523.89,16.82,0.32,42791.49,13251.63,27706.0,1832.82,31951.17,0.01,0.03,3.02,0.06,24093.6,0.0,1.0,0.0,0.0,0.0,537.61,168.75,76.64,109.05,0.0,7.91,193.6,2.86,33.54,0.0,0.0,6.28,1.47,11.47,0.91,1.36,0.4,0.11,1.27,0.0,0.0,0.01,0.86,0.02,,0.0,0.16,30,0.06,0.06,6.06,13523.27,14.46,11244.86,404.98,10371.86,6.26,204.1,1.47,24.91,2.76,19.13,2.93,20.94,23029.88,145.34,7.85,1.98,0.28,0.95,3.22,56.9,0.12,1.31,0.2,0.35,22.39,0.81,0.16,2.73,4.74,0.55,1.96,0.57,0.0,3.62,3.72,1.99,0.17,2.16,1674.85,0.33,0.47,1.82,0.0,0.0,0.84,5.63,0.88,0.52,5.62,810.85,27.82,0.01,0.16,27.55,1.15,2013.13,2013.13,0.47,0.09,0.78,1.69,1.69,1.05,1.12,0.01,0.17,0.43,0.11,0.29,30109.05,0.25,0.0,0.32,1.55,1.72,0.44,3.58,0.08,0.01,0.07,0.06,0.53,718.5,243,1660.56,1661.17,0.58,0.07,0.0,0.0,1.45,0.65,0.01,1.39,0.74,0.08,3.12,0.0,0.01,0.0,0.93,0.01,0.0,0.2,0.0,0.0,0.02,JUNGLE,JUNGLE,NONE,JUNGLE,XinZhao JUNGLE,2.52,0.49,6.15,406.3,702.68,20.58,34.57,20.16,24.69,5.08,1.02,12.2,0.0,7806.74,10.17,0.02,0.02,0.01,,0.09,0.18,0.14,0.16,0.17,0.01,49.15,0.0,3.05,6.1,4.41,0.68,0.0,0.0,0.09,0.0,0.0,0.34
