summonerId,puuid
G9Y1loP7heIHAFYlcoQ1pMfnSd6oN7XzPEv0FML3M8CTgaQ,kPMSK5c3rVPCC6s7GDdNFfodtyRbKdFUiXZpbWbPyNjEo9ZSaTTqF10_r4y3aQ3qqPm57vBLo81Jfw
NMPU3jSqR726GTZEoW51O7TK6UGdJtZrRxijj_CC2MjUULo,x9s4AomLNjVQUnmUtDuXXwbloka9Rkv7Fuo7Cpg6h7BEXsE52pexLg1Zoz_jO03M4N5R4UfgPXixqw
-GbT1NdJeGecORxOu8C37OSjV5UsHE3apC9IIu3z9GjQbc8,66cEyOWSECA3BdqNdhQcI92p7ojREXDx7-bO0ERWv-Dk-9WtFMOkOgFx6v-DBbH-oiRyaV8lPc-igQ
tQ6p3UiVdyi8ZOh0HBn3qRIx2mxGgA8diNS-aJ0C1YDOEFc,gOEggGuWfbL8LS7oU2yymPKX2XMnVpA5TmnSfkdnaeIOE3wtoy8LB-9crhroF0tnCz7-ebeFFKBRPQ
vYQHG8HcX9LXdqt2OUZor4aLbekzHnOugEck0aruLsoYi_s6,dHILyIFH6ECUSzQVuJTwRi3NFtg9qKXhdGcxSrJHnm0BBmY09ZkRkp-6jTHNuN2e2lV5EAwywZGRfA
VvZB7vzSNiz98pfuo_iicpV6YXPA9OgVHV3iT7W1HqXNlf8,ogc4kymrGWZKR6pfecH0GGAqmFMuZwxZgtm7vq_541BgxjnX10-or29lS9BL951Q25P6CVx1kMXSSA
Ue2zPhA-WhqM_z1rV-BRdw2drljHWszJHJuzQEkFTuvQ9M8,iZjw0GypZBuue7CNaCVDFBRNGBfdGAyAp6kFK9q2RazBxMqdBuxGXO6KqUFz-FtX23qcha0ap0i3jA
U12gMG9-H3hEUFBcwz8Q-fTY3QWxAs2txtZ4_v1vyMt-hJ4,3fE7LGHv-9ZavDb260nLRS2wlL0ufTkpaKNtVbM2KdUidnfrhOA3WRyBbxu8rhveb_bV8IBu9rRRsA
-AgzxGJIiftUmGQg73SOh3oQtcH-Cv0ASjDGjQ2oAMB9CqvZId-w2fvpWw,N6nicVGfAQM8MMjiZz7CFC3xUcQEdQe0KUJVWwGPawdpWRZqmpYVjfgvexCr1qHx4-NxEivwZKsyGA
Hc8P7myxOwX_sFXidoobc3nYMqQBs3grcDIfl6qNDw7Leh8,UbqevNv6T8ZNEKdw2cLSOWmp2G3vhhqooFzNl801yFeggoRL83LDYnDZn5alhLn4tZyK62I1sjyHtQ
Rm_U5U4ai1E4jZxH2ONNZx2K-hVyS-u6nNwy1fnLW9HJtpbEt6cFCkyQSg,PGaOEyYEDnCyZJGiLypa21Hvn0NaECadjVEfljvA33FbpZN0CcXvVGfzeRKg9XPWUJQhkqSUz44aRw
v8xi1QiBlrkByYOKIvML3hfkpQFBTJxJZ6Rp-ObAgm-1Pezf,3mvcBE3vci1mCpvCC5iXfVJveQsS4URRTCg9_Rm7yATqjnVxR-bvQK0gLHHKkW4RyYd8RtQQz5GW0Q
tbvPYYwdVPI6nZdOIpdxBY5ABDw41TVqB4Sy4BABTyQzCOZm,tlLdk38n-9XFkB0gzwntsGXebqqoTwcBRCLQpWmp75I2G4z3OLGWWTFbGECidD7CfQlrGIA-4pSrsQ
VvYffrjXGnruxZasi63cTl9xciIc6Lk0GxmQIFyelkmlWaPi,_am_h6n7eLbRRMGKfTwa3cPP0BZhW-UxxIEyAeDW40fiFuMbsMyps3y8XOH07Byt9z1si2ZsrlsnXg
SScbY_8blwSMvjjhZ3bXfasXGaCaF40GEPw2xIXE-UmvWk8Xs7yKnXJwFQ,KoTP53Yopsf-_8Q5ATL4AcT4lP73WEARKizxs2_nPLI5-U-cukib4sDVnoCOgfiX2FgC9OFiBB19KQ
m0IZ6x7oHbQ6gKG9merNdBD3cek_CKbN8uW_Axbv3HfuuZ-F,irRal5_4Jv1v0gARFatPSxGvr8PDUogGlKnu3TknMxzhubssJKNKREp0WtkuhDZIW6PKu1ec48VZrQ
n66LAs6_354LAQDYFsH_5AaxyBlgT7LeLkj2i2-UAEFPrxs,i52ive4LyIS8QqdDjcV08tuNh1F9rl92FAyDB2Ke_SRljqU_fykbu8wEG33lwJell-Hg5nJe_Bl6Kw
aPPb3ijy4JFDq2cBHKQ6RZBv4zQudTyB-9QGa_w4QxJFACE,aEuhcBQK1b-LzuTcwQgtwr9FlZ8L0gArrOl1_Iu8aGaciCXCESR14B7uLIHM3QFDKHgbFJbbAajA7g
GgO0XPoNoDjHbZNCdtwnYugd51-4uwTbnPGOkR7AwwfdPAQ,quY1Oha5mFaf0IgVE6uUEw-5nwYIGvpopX8kposk8udQVq0xsozrR3TK2qYPz6oca3DXlQ6FdNVslQ
nHYsuR5w37Eyk3u089_sWyxO8Zcd1e_w9VS8qbsYLSmPVoEog6XAS0Odlg,4YC0zeFI7A4kFa4Twc-MahHo3_kds99n193MceManbb_DIrQ4zb8OZSUbdnxMLrKA6OPAMO6nnL73A
